run,R,t_to_thr_base,t_recover,residual_base,residual,domain
332,,0.0,0.0,4.610758383192148,4.610758383192148,spacecraft
333,,0.0,0.0,4.159356078646047,4.159356078646047,spacecraft
334,,0.0,0.0,4.632506337937565,4.632506337937565,spacecraft
335,,0.0,0.0,4.507967919814725,4.507967919814725,spacecraft
336,2.942091015256665e-15,0.0,0.0,5.082613260292673,5.052170680907021,spacecraft
337,,0.0,0.0,4.424397608012038,4.424397608012038,spacecraft
338,,0.0,0.0,4.361346576884196,4.361346576884196,spacecraft
339,,0.0,0.0,4.488573405473053,4.488573405473053,spacecraft
340,,0.0,0.0,4.62642940675271,4.62642940675271,spacecraft
341,,0.0,0.0,4.108508156747871,4.108508156747871,spacecraft
342,2.7755575615628917e-15,0.0,0.0,5.043794858960685,5.015795709794537,spacecraft
343,,0.0,0.0,4.268715053094837,4.268715053094837,spacecraft
344,,0.0,0.0,4.448866967753864,4.448866967753864,spacecraft
345,2.4424906541753444e-15,0.0,0.0,4.7471304434362205,4.745972692536467,spacecraft
346,,0.0,0.0,4.240898379239382,4.240898379239382,spacecraft
347,,0.0,0.0,4.245065502436746,4.245065502436746,spacecraft
348,,0.0,0.0,3.5587416586222527,3.5587416586222527,spacecraft
349,,0.0,0.0,4.626824036890784,4.626824036890784,spacecraft
350,2.609024107869118e-15,0.0,0.0,4.77985601158584,4.77472220406759,spacecraft
351,,0.0,0.0,4.597519490437999,4.597519490437999,spacecraft
352,,0.0,0.0,3.863604408140041,3.863604408140041,spacecraft
353,,0.0,0.0,4.131991569970546,4.131991569970546,spacecraft
354,3.6637359812630166e-15,0.0,0.0,4.707411858838868,4.703530170259086,spacecraft
355,,0.0,0.0,4.478485781269561,4.478485781269561,spacecraft
356,,0.0,0.0,4.395054276161067,4.395054276161067,spacecraft
357,,0.0,0.0,4.696658650189862,4.696658650189862,spacecraft
358,,0.0,0.0,3.743565232251333,3.743565232251333,spacecraft
359,,0.0,0.0,4.124719152685445,4.124719152685445,spacecraft
360,,0.0,0.0,3.993283516187383,3.993283516187383,spacecraft
361,,0.0,0.0,4.156628659421467,4.156628659421467,spacecraft
362,,0.0,0.0,4.470171336561208,4.470171336561208,spacecraft
363,,0.0,0.0,4.492660356951328,4.492660356951328,spacecraft
364,,0.0,0.0,4.318977485016466,4.318977485016466,spacecraft
365,,0.0,0.0,4.38571477897192,4.38571477897192,spacecraft
366,2.664535259100376e-15,0.0,0.0,4.779384626604236,4.772899214348779,spacecraft
367,,0.0,0.0,3.8659246140488497,3.8659246140488497,spacecraft
368,,0.0,0.0,4.160745358499683,4.160745358499683,spacecraft
369,,0.0,0.0,4.320557053405196,4.320557053405196,spacecraft
370,,0.0,0.0,4.547275744934478,4.547275744934478,spacecraft
371,,0.0,0.0,3.988446727097982,3.988446727097982,spacecraft
372,3.6637359812630166e-15,0.0,0.0,5.284119178845366,5.212419779336582,spacecraft
373,,0.0,0.0,4.252755739723782,4.252755739723782,spacecraft
374,3.6637359812630166e-15,0.0,0.0,4.79320460381622,4.782729641661331,spacecraft
375,,0.0,0.0,3.975175008373177,3.975175008373177,spacecraft
376,,0.0,0.0,4.454462268115927,4.454462268115927,spacecraft
377,,0.0,0.0,3.7615114483851215,3.7615114483851215,spacecraft
378,,0.0,0.0,4.677420502189746,4.677420502189746,spacecraft
379,,0.0,0.0,4.350494463007394,4.350494463007394,spacecraft
380,,0.0,0.0,4.464463060896772,4.464463060896772,spacecraft
381,,0.0,0.0,3.691521241925826,3.691521241925826,spacecraft
